time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1954-05-01,43.708333225,-79.375002465,10.98,12.95,14.90,10.98,12.95,14.90,10.98,12.95,14.90
1954-06-01,43.708333225,-79.375002465,16.34,17.40,19.38,16.34,17.40,19.38,16.34,17.40,19.38
1954-07-01,43.708333225,-79.375002465,19.00,20.45,22.67,19.00,20.45,22.67,19.00,20.45,22.67
1954-08-01,43.708333225,-79.375002465,19.15,20.12,22.04,19.15,20.12,22.04,19.15,20.12,22.04
1954-09-01,43.708333225,-79.375002465,14.50,15.75,17.59,14.50,15.75,17.59,14.50,15.75,17.59
1954-10-01,43.708333225,-79.375002465,7.79,9.43,10.93,7.79,9.43,10.93,7.79,9.43,10.93
1954-11-01,43.708333225,-79.375002465,1.15,3.93,5.54,1.15,3.93,5.54,1.15,3.93,5.54
1954-12-01,43.708333225,-79.375002465,-6.95,-2.67,-0.68,-6.95,-2.67,-0.68,-6.95,-2.67,-0.68
1955-01-01,43.708333225,-79.375002465,-9.69,-4.78,-1.72,-9.69,-4.78,-1.72,-9.69,-4.78,-1.72
1955-02-01,43.708333225,-79.375002465,-7.27,-4.64,-1.13,-7.27,-4.64,-1.13,-7.27,-4.64,-1.13
1955-03-01,43.708333225,-79.375002465,-3.95,-0.41,2.98,-3.95,-0.41,2.98,-3.95,-0.41,2.98
1955-04-01,43.708333225,-79.375002465,4.82,6.76,10.59,4.82,6.76,10.59,4.82,6.76,10.59
1955-05-01,43.708333225,-79.375002465,10.83,13.96,15.05,10.83,13.96,15.05,10.83,13.96,15.05
1955-06-01,43.708333225,-79.375002465,15.95,17.71,19.52,15.95,17.71,19.52,15.95,17.71,19.52
1955-07-01,43.708333225,-79.375002465,19.58,20.72,21.60,19.58,20.72,21.60,19.58,20.72,21.60
1955-08-01,43.708333225,-79.375002465,18.26,20.45,22.62,18.26,20.45,22.62,18.26,20.45,22.62
1955-09-01,43.708333225,-79.375002465,14.20,16.70,18.13,14.20,16.70,18.13,14.20,16.70,18.13
1955-10-01,43.708333225,-79.375002465,8.53,9.65,11.59,8.53,9.65,11.59,8.53,9.65,11.59
1955-11-01,43.708333225,-79.375002465,1.42,2.96,5.57,1.42,2.96,5.57,1.42,2.96,5.57
1955-12-01,43.708333225,-79.375002465,-6.49,-2.19,-0.42,-6.49,-2.19,-0.42,-6.49,-2.19,-0.42
1956-01-01,43.708333225,-79.375002465,-8.48,-6.49,-2.93,-8.48,-6.49,-2.93,-8.48,-6.49,-2.93
1956-02-01,43.708333225,-79.375002465,-9.20,-4.86,-2.04,-9.20,-4.86,-2.04,-9.20,-4.86,-2.04
1956-03-01,43.708333225,-79.375002465,-4.26,-0.41,3.26,-4.26,-0.41,3.26,-4.26,-0.41,3.26
1956-04-01,43.708333225,-79.375002465,4.50,6.64,10.44,4.50,6.64,10.44,4.50,6.64,10.44
1956-05-01,43.708333225,-79.375002465,10.90,12.22,13.98,10.90,12.22,13.98,10.90,12.22,13.98
1956-06-01,43.708333225,-79.375002465,16.36,17.87,19.94,16.36,17.87,19.94,16.36,17.87,19.94
1956-07-01,43.708333225,-79.375002465,19.65,21.34,22.70,19.65,21.34,22.70,19.65,21.34,22.70
1956-08-01,43.708333225,-79.375002465,18.98,20.22,21.96,18.98,20.22,21.96,18.98,20.22,21.96
